timestamps,agg_signal,p300_signal_id
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.2,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.46592463,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.3,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.5375975179999999,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.4,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.554836624,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.5,1.528475918,p300_sig_id_0
15:32.6,1.528475918,p300_sig_id_0
15:32.6,1.528475918,p300_sig_id_0
15:32.6,1.528475918,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.6,1.4730174390000002,p300_sig_id_0
15:32.7,1.4730174390000002,p300_sig_id_0
15:32.7,1.4730174390000002,p300_sig_id_0
15:32.7,1.4730174390000002,p300_sig_id_0
15:32.7,1.4730174390000002,p300_sig_id_0
15:32.7,1.4730174390000002,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
